Squadra,Immagine,Nazione,Serie,Difficolta
Steaua_Bucaresti,Steaua_Bucaresti.png,Romania,Serie A,1
Studentesc_Iasi,Studentesc_Iasi.png,Romania,Serie A,3
Targu-Mure,Targu-Mure.png,Romania,Serie A,3
Timisoara,Timisoara.png,Romania,Serie A,3
Universitatea Craiova,Universitatea Craiova.png,Romania,Serie A,3
Viitorul_Constanta,Viitorul_Constanta.png,Romania,Serie A,3
Voluntari,Voluntari.png,Romania,Serie A,3
Celtic,Celtic.png,Scozia,Serie A,1
Dundee_United,Dundee_United.png,Scozia,Serie A,2
Athletic_Bilbao,Athletic_Bilbao.png,Spagna,Serie A,1
Atletico_Madrid,Atletico_Madrid.png,Spagna,Serie A,1
Barcelona,Barcelona.png,Spagna,Serie A,1
Betis,Betis.png,Spagna,Serie A,1
Celta_Vigo,Celta_Vigo.png,Spagna,Serie A,1
Deportivo_La_Coruna,Deportivo_La_Coruna.png,Spagna,Serie A,1
Eibar,Eibar.png,Spagna,Serie A,1
Espanyol_De_Barcelona,Espanyol_De_Barcelona.png,Spagna,Serie A,1
Getafe,Getafe.png,Spagna,Serie A,1
Granada,Granada.png,Spagna,Serie A,1
Las_Palmas,Las_Palmas.png,Spagna,Serie A,1
Levante,Levante.png,Spagna,Serie A,1
Malaga,Malaga.png,Spagna,Serie A,1
Rayo_Vallecano,Rayo_Vallecano.png,Spagna,Serie A,1
Real_Madrid,Real_Madrid.png,Spagna,Serie A,1
Real_Sociedad,Real_Sociedad.png,Spagna,Serie A,1
Sevilla,Sevilla.png,Spagna,Serie A,1
Sporting_Gijon,Sporting_Gijon.png,Spagna,Serie A,1
Valencia,Valencia.png,Spagna,Serie A,1
Villarreal,Villarreal.png,Spagna,Serie A,1
Albacete,Albacete.png,Spagna,Serie B,2
Alcorc¢n,Alcorc¢n.png,Spagna,Serie B,2
Almer°a,Almer°a.png,Spagna,Serie B,2
Cordoba,Cordoba.png,Spagna,Serie B,2
Deportivo_Alaves,Deportivo_Alaves.png,Spagna,Serie B,2
Deportivo_Tenerife,Deportivo_Tenerife.png,Spagna,Serie B,2
Elche,Elche.png,Spagna,Serie B,2
GimnÖstic_de_Tarragona,GimnÖstic_de_Tarragona.png,Spagna,Serie B,2
Girona,Girona.png,Spagna,Serie B,2
Huesca,Huesca.png,Spagna,Serie B,2
LeganÇs,LeganÇs.png,Spagna,Serie B,2
Llagostera,Llagostera.png,Spagna,Serie B,2
Lugo,Lugo.png,Spagna,Serie B,2
Mallorca,Mallorca.png,Spagna,Serie B,2
MirandÇs,MirandÇs.png,Spagna,Serie B,2
Numancia,Numancia.png,Spagna,Serie B,2
Osasuna,Osasuna.png,Spagna,Serie B,2
Oviedo,Oviedo.png,Spagna,Serie B,2
Ponferradina,Ponferradina.png,Spagna,Serie B,2
Valladolid,Valladolid.png,Spagna,Serie B,2
Zaragoza,Zaragoza.png,Spagna,Serie B,2
Akhisar_Belediye,Akhisar_Belediye.png,Turchia,Serie A,2
Antalyaspor,Antalyaspor.png,Turchia,Serie A,2
Besiktas,Besiktas.png,Turchia,Serie A,1
Bursaspor,Bursaspor.png,Turchia,Serie A,2
Caykur_Rize,Caykur_Rize.png,Turchia,Serie A,2
Eskisehirspors,Eskisehirspors.png,Turchia,Serie A,2
Fenerbahce,Fenerbahce.png,Turchia,Serie A,1
Galatasaray,Galatasaray.png,Turchia,Serie A,1
Gaziantepspor,Gaziantepspor.png,Turchia,Serie A,2
Genclerbirligi,Genclerbirligi.png,Turchia,Serie A,2
Istanbul_Basaksehir,Istanbul_Basaksehir.png,Turchia,Serie A,2
Kasimpasa,Kasimpasa.png,Turchia,Serie A,2
Kayserispor,Kayserispor.png,Turchia,Serie A,2
Konyaspor,Konyaspor.png,Turchia,Serie A,2
Mersin_Idman_Yurdu,Mersin_Idman_Yurdu.png,Turchia,Serie A,2
Osmanl’spor,Osmanl’spor.png,Turchia,Serie A,2
Sivasspor,Sivasspor.png,Turchia,Serie A,2
Trabzonspor,Trabzonspor.png,Turchia,Serie A,1
